operador,n_flares,gas_quemado_mm3,gas_producido_mm3,pct_gas_quemado,co2_kt,boe_2024,kg_co2_por_boe
YPF S.A.,46,550.7,11312.9,4.87,1101.4,162920369.0,6.76
PLUSPETROL S.A.,4,125.2,3007.0,4.16,250.4,30563719.0,8.193
PAN AMERICAN ENERGY SL,8,94.7,3834.9,2.47,189.4,30841511.0,6.142
VISTA ENERGY ARGENTINA SAU,7,71.5,435.3,16.43,143.1,24679049.0,5.797
No asignado,13,66.4,0.0,,132.9,0.0,
CHEVRON ARGENTINA S.R.L.,6,63.9,191.8,33.34,127.9,4008104.0,31.908
TECPETROL S.A.,6,59.9,6194.9,0.97,119.8,41342501.0,2.897
PAMPA ENERGIA S.A.,5,35.0,4616.9,0.76,69.9,27673545.0,2.527
TOTAL AUSTRAL S.A.,2,34.7,5150.2,0.67,69.4,32362729.0,2.144
PLUSPETROL CUENCA NEUQUINA S.R.L.,3,20.8,0.0,,41.6,0.0,
PHOENIX GLOBAL RESOURCES S.A.,1,20.7,0.0,,41.5,0.0,
SHELL ARGENTINA S.A.,2,17.9,179.3,9.96,35.7,12154474.0,2.939
VACA MUERTA INVERSIONES SAU,1,7.9,0.0,,15.8,0.0,
OILSTONE ENERGIA S.A.,1,7.5,286.4,2.61,15.0,2481127.0,6.038
GEOPARK ARGENTINA S.A.,1,5.2,0.0,,10.5,0.0,
CONTINENTAL RESOURCES ARGENTINA SAU.,1,4.7,0.0,,9.4,0.0,
FLXS OGE S.A,1,3.3,0.0,,6.6,0.0,
BENTIA ENERGY S.A.,4,3.2,0.0,,6.4,0.0,
Petrolera Aconcagua Energia S.A.,1,2.2,217.5,1.0,4.4,4080908.0,1.071
