operador,gas_mm3,petroleo_m3,petroleo_bbl,gas_boe,oil_boe,boe,share_boe_pct,pozos_activos_prom
YPF S.A.,10917.4,17992497.7,113169212.0,64257916.0,113169212.0,177427129.0,40.89,4173.0
TECPETROL S.A.,6217.3,1023728.3,6439046.0,36593996.0,6439046.0,43033043.0,9.92,280.0
PLUSPETROL S.A.,3957.0,2550985.8,16045191.0,23290053.0,16045191.0,39335244.0,9.07,916.0
PAN AMERICAN ENERGY SL,3286.0,1773530.4,11155151.0,19340612.0,11155151.0,30495763.0,7.03,314.0
PAMPA ENERGIA S.A.,4491.1,559852.0,3521357.0,26434020.0,3521357.0,29955377.0,6.9,159.0
TOTAL AUSTRAL S.A.,4726.3,304339.9,1914237.0,27818011.0,1914237.0,29732247.0,6.85,314.0
VISTA ENERGY ARGENTINA SAU,461.1,3996722.3,25138584.0,2713891.0,25138584.0,27852475.0,6.42,190.0
SHELL ARGENTINA S.A.,258.7,1746691.6,10986341.0,1522660.0,10986341.0,12509001.0,2.88,139.0
CHEVRON ARGENTINA S.R.L.,368.7,880344.0,5537188.0,2170335.0,5537188.0,7707523.0,1.78,226.0
PLUSPETROL CUENCA NEUQUINA S.R.L.,354.9,694112.6,4365829.0,2089170.0,4365829.0,6454999.0,1.49,29.0
CAPEX S.A.,534.1,281588.2,1771134.0,3143437.0,1771134.0,4914571.0,1.13,428.0
PETROQUIMICA COMODORO RIVADAVIA S.A.,187.3,528592.3,3324740.0,1102354.0,3324740.0,4427094.0,1.02,960.0
KILWER S.A.,43.6,601489.1,3783246.0,256739.0,3783246.0,4039985.0,0.93,35.0
Petrolera Aconcagua Energia S.A.,169.2,397691.7,2501401.0,995586.0,2501401.0,3496987.0,0.81,650.0
QUINTANA E&P ARGENTINA S.R.L.,403.1,110941.0,697797.0,2372396.0,697797.0,3070192.0,0.71,219.0
OILSTONE ENERGIA S.A.,229.5,100444.1,631773.0,1350736.0,631773.0,1982509.0,0.46,371.0
PETROLERA EL TREBOL S.A.,13.9,255080.5,1604405.0,81636.0,1604405.0,1686042.0,0.39,7.0
PETROLEOS SUDAMERICANOS S.A.,51.1,172991.9,1088084.0,300589.0,1088084.0,1388673.0,0.32,261.0
BENTIA ENERGY S.A.,100.5,97082.8,610631.0,591230.0,610631.0,1201861.0,0.28,331.0
FLXS OGE S.A,138.5,5715.6,35950.0,815362.0,35950.0,851312.0,0.2,248.0
VACA MUERTA INVERSIONES SAU,29.5,70157.0,441273.0,173396.0,441273.0,614670.0,0.14,14.0
EXXONMOBIL EXPLORATION ARGENTINA S.R.L.,27.4,31945.2,200929.0,161389.0,200929.0,362318.0,0.08,24.0
HATTRICK ENERGY SAS,0.0,51074.6,321249.0,0.0,321249.0,321249.0,0.07,18.0
PRESIDENT PETROLEUM S.A.,1.3,31473.6,197962.0,7828.0,197962.0,205790.0,0.05,36.0
PATAGONIA ENERGY S.A.,5.9,21830.2,137308.0,34844.0,137308.0,172152.0,0.04,17.0
MADALENA ENERGY ARGENTINA SRL,10.8,13401.1,84290.0,63685.0,84290.0,147975.0,0.03,38.0
GEOPARK ARGENTINA LTD. (SUCURSAL ARGENTINA),1.2,13708.7,86225.0,7298.0,86225.0,93523.0,0.02,9.0
PAMPETROL S.A.P.E.M,1.3,13149.6,82709.0,7887.0,82709.0,90596.0,0.02,35.0
EDHIPSA,0.5,9884.9,62174.0,2943.0,62174.0,65117.0,0.02,29.0
E.M.E.S.A,0.7,9655.1,60729.0,3885.0,60729.0,64614.0,0.01,23.0
PETROLSUR ENERGIA S.A.,10.1,199.6,1255.0,59211.0,1255.0,60467.0,0.01,8.0
ROCH S.A.,0.6,7701.8,48443.0,3473.0,48443.0,51915.0,0.01,8.0
VENOIL S.A.,3.2,3801.1,23908.0,18893.0,23908.0,42802.0,0.01,3.0
MEDANITO S.A.,1.4,5388.6,33893.0,8299.0,33893.0,42192.0,0.01,8.0
G Y G OIL SERVICE SRL,1.3,2675.2,16826.0,7887.0,16826.0,24713.0,0.01,3.0
GEOPETROL DRILLING S.A.,0.1,102.3,644.0,530.0,644.0,1173.0,0.0,2.0
ARGENTA ENERGIA S.A.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PETROLERA DEL COMAHUE S.A.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CROWN POINT ENERGIA S.A.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SAN JORGE PETROLEUM S.A.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
INGENIERIA SIMA S.A.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PETROLERA PAMPA S.A.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PETROLERA SAN MIGUEL S.A.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENERGICON S.A.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
